"","tasa","auc","modelo"
"1",0.056107099879663,0.983807821393916,"Red"
"2",0.0567839951865222,0.983988213138861,"Red"
"3",0.055956678700361,0.983753376249212,"Red"
"4",0.0558062575210589,0.983987812990807,"Red"
"5",0.0541516245487365,0.984186786611046,"Red"
"6",0.0555806257521059,0.98411786110861,"Red"
"7",0.055655836341757,0.984114834988946,"Red"
"8",0.055731046931408,0.983863241899503,"Red"
"9",0.0549789410348978,0.984092751818173,"Red"
"10",0.0548285198555957,0.984474555585567,"Red"
