"","tasa","auc","modelo"
"1",0.0800992779783394,0.973653439272531,"MXM"
"2",0.0810770156438027,0.97378681362104,"MXM"
"3",0.0800240673886883,0.97369386673069,"MXM"
"4",0.0800992779783394,0.973874846193091,"MXM"
"5",0.0811522262334536,0.973307573802307,"MXM"
"6",0.0809265944645006,0.973583525904585,"MXM"
"7",0.0811522262334536,0.973548825565459,"MXM"
"8",0.0810770156438027,0.973771920610626,"MXM"
"9",0.0806257521058965,0.973507735362084,"MXM"
"10",0.0798736462093863,0.973614437341817,"MXM"
